AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
240,"[9, 24, 29, 13, 20, 35, 37, 26]",ga_gen_500.csv:gen154,205,617,4,207.0
241,"[23, 36, 2, 18, 1, 16, 43, 16]",ga_gen_500.csv:gen156,247,555,24,259.0
242,"[48, 25, 5, 19, 21, 44, 46, 31]",ga_gen_500.csv:gen158,496,300,30,511.0
243,"[2, 20, 24, 27, 11, 18, 33, 17]",ga_gen_500.csv:gen160,351,466,9,355.5
244,"[9, 26, 11, 39, 4, 38, 41, 33]",ga_gen_500.csv:gen162,337,475,14,344.0
245,"[14, 11, 31, 37, 21, 19, 35, 20]",ga_gen_500.csv:gen164,360,456,10,365.0
246,"[0, 29, 17, 24, 9, 44, 37, 47]",ga_gen_500.csv:gen166,415,398,13,421.5
247,"[14, 21, 45, 8, 44, 39, 50, 8]",ga_gen_500.csv:gen168,431,377,18,440.0
248,"[38, 24, 25, 24, 23, 34, 43, 41]",ga_gen_500.csv:gen170,358,462,6,361.0
249,"[6, 38, 0, 21, 23, 23, 9, 23]",ga_gen_500.csv:gen172,362,452,12,368.0
250,"[15, 6, 20, 48, 43, 18, 37, 27]",ga_gen_500.csv:gen174,474,333,19,483.5
251,"[24, 7, 24, 23, 28, 13, 30, 25]",ga_gen_500.csv:gen176,415,391,20,425.0
252,"[15, 10, 13, 23, 6, 20, 27, 28]",ga_gen_500.csv:gen178,349,462,15,356.5
253,"[5, 12, 18, 47, 26, 9, 34, 31]",ga_gen_500.csv:gen180,413,399,14,420.0
254,"[12, 27, 18, 28, 31, 16, 26, 21]",ga_gen_500.csv:gen182,469,355,2,470.0
255,"[12, 27, 18, 28, 31, 16, 26, 21]",ga_gen_500.csv:gen184,469,355,2,470.0
256,"[22, 27, 21, 24, 27, 33, 23, 24]",ga_gen_500.csv:gen186,261,557,8,265.0
257,"[25, 23, 15, 18, 27, 48, 24, 29]",ga_gen_500.csv:gen188,265,551,10,270.0
